A	EnergyPDE
1.7	8.17957
1.705	8.23826
1.71	8.29696
1.715	8.35898
1.72	8.4311
1.725	8.50321
1.73	8.57532
1.735	8.64744
1.74	8.71955
1.745	8.79166
1.75	8.86378
1.755	8.93589
1.76	9.008
1.765	9.08821
1.77	9.17892
1.775	9.26963
1.78	9.36034
1.785	9.45104
1.79	9.54175
1.795	9.63246
1.8	9.72317
1.805	9.81387
1.81	9.90458
1.815	9.99529
1.82	10.08635
1.825	10.17767
1.83	10.269
1.835	10.36033
1.84	10.45166
1.845	10.54299
1.85	10.63432
1.855	10.72564
1.86	10.81697
1.865	10.9083
1.87	10.9962
1.875	11.08106
1.88	11.16591
1.885	11.25076
1.89	11.33562
1.895	11.42047
1.9	11.50533
1.905	11.59018
1.91	11.67503
1.915	11.75989
1.92	11.85397
1.925	11.95562
1.93	12.05727
1.935	12.15892
1.94	12.26057
1.945	12.36222
1.95	12.46387
1.955	12.56552
1.96	12.66717
1.965	12.76882
1.97	12.87047
1.975	12.97212
1.98	13.06586
1.985	13.15755
1.99	13.24924
1.995	13.34093
2	13.43262
2.005	13.52431
2.01	13.61599
2.015	13.70768
2.02	13.79937
2.025	13.89106
2.03	14.01027
2.035	14.13641
2.04	14.26256
2.045	14.3887
2.05	14.51484
2.055	14.64098
2.06	14.75696
2.065	14.86716
2.07	14.97735
2.075	15.08755
2.08	15.19774
2.085	15.30794
2.09	15.41813
2.095	15.52833
2.1	15.63852
2.105	15.74872
2.11	15.85891
2.115	15.97422
2.12	16.09184
2.125	16.20946
2.13	16.32708
2.135	16.4447
2.14	16.56232
2.145	16.67995
2.15	16.79757
2.155	16.91519
2.16	17.03281
2.165	17.15043
2.17	17.28827
2.175	17.42745
2.18	17.56663
2.185	17.70581
2.19	17.84499
2.195	17.98417
2.2	18.12336
2.205	18.26254
2.21	18.40172
2.215	18.55503
2.22	18.71258
2.225	18.87013
2.23	19.02768
2.235	19.18523
2.24	19.34278
2.245	19.50033
2.25	19.65788
2.255	19.81543
2.26	19.97299
2.265	20.11431
2.27	20.2366
2.275	20.3589
2.28	20.48119
2.285	20.60349
2.29	20.72579
2.295	20.84808
2.3	20.97038
2.305	21.09267
2.31	21.21497
2.315	21.33727
2.32	21.45956
2.325	21.58186
2.33	21.70416
2.335	21.82645
2.34	21.94875
2.345	22.07104
2.35	22.19953
2.355	22.35343
2.36	22.50732
2.365	22.66121
2.37	22.81511
2.375	22.969
2.38	23.12289
2.385	23.27679
2.39	23.43068
2.395	23.58457
2.4	23.73847
2.405	23.89236
2.41	24.04625
2.415	24.20015
2.42	24.35646
2.425	24.5132
2.43	24.66993
2.435	24.82666
2.44	24.9834
2.445	25.14013
2.45	25.29686
2.455	25.45359
2.46	25.61033
2.465	25.76706
2.47	25.92379
2.475	26.08053
2.48	26.23726
2.485	26.39399
2.49	26.55073
2.495	26.70746
2.5	26.86419
2.505	27.02092
2.51	27.17766
2.515	27.33439
2.52	27.49618
2.525	27.67788
2.53	27.85958
2.535	28.04128
2.54	28.22298
2.545	28.40468
2.55	28.58638
2.555	28.76808
2.56	28.94978
2.565	29.13148
2.57	29.31318
2.575	29.49488
2.58	29.67658
2.585	29.85828
2.59	30.03998
2.595	30.22168
2.6	30.40338
2.605	30.58508
2.61	30.76678
2.615	30.94848
2.62	31.13019
2.625	31.31189
2.63	31.49359
2.635	31.67529
2.64	31.85699
2.645	32.00579
2.65	32.1395
2.655	32.27321
2.66	32.40692
2.665	32.54063
2.67	32.67434
2.675	32.80805
2.68	32.92195
2.685	32.99189
2.69	33.06182
2.695	33.13176
2.7	33.2017
2.705	33.27163
2.71	33.34157
2.715	33.4115
2.72	33.48144
2.725	33.55137
2.73	33.62131
2.735	33.69125
2.74	33.76118
2.745	33.83112
2.75	33.90085
2.755	33.9698
2.76	34.03875
2.765	34.10771
2.77	34.17666
2.775	34.24561
2.78	34.31457
2.785	34.38352
2.79	34.45248
2.795	34.52143
2.8	34.59038
2.805	34.62636
2.81	34.66053
2.815	34.6947
2.82	34.72887
2.825	34.76303
2.83	34.7972
2.835	34.83137
2.84	34.86554
2.845	34.89971
2.85	34.93387
2.855	34.96804
2.86	35.00221
2.865	35.03638
2.87	35.07055
2.875	35.10471
2.88	35.13888
2.885	35.1593
2.89	35.14931
2.895	35.13932
2.9	35.12933
2.905	35.11934
2.91	35.10935
2.915	35.09936
2.92	35.08938
2.925	35.07939
2.93	35.0694
2.935	35.05941
2.94	35.04942
2.945	35.03943
2.95	35.02944
2.955	35.01945
2.96	34.99922
2.965	34.94137
2.97	34.88352
2.975	34.82567
2.98	34.76783
2.985	34.70998
2.99	34.65213
2.995	34.59428
3	34.53643
3.005	34.47858
3.01	34.42074
3.015	34.36289
3.02	34.30504
3.025	34.24719
3.03	34.13929
3.035	34.03029
3.04	33.92128
3.045	33.81228
3.05	33.70327
3.055	33.59427
3.06	33.48527
3.065	33.37626
3.07	33.26726
3.075	33.15825
3.08	33.04925
3.085	32.93709
3.09	32.82461
3.095	32.71213
3.1	32.59966
3.105	32.48718
3.11	32.37471
3.115	32.26223
3.12	32.14975
3.125	32.03728
3.13	31.9248
3.135	31.81233
3.14	31.67608
3.145	31.528
3.15	31.37992
3.155	31.23184
3.16	31.08376
3.165	30.93568
3.17	30.7876
3.175	30.63952
3.18	30.49144
3.185	30.34336
3.19	30.19528
3.195	30.0472
3.2	29.83222
3.205	29.59607
3.21	29.35992
3.215	29.12378
3.22	28.88763
3.225	28.65148
3.23	28.41533
3.235	28.18453
3.24	27.97036
3.245	27.75619
3.25	27.54201
3.255	27.32784
3.26	27.11367
3.265	26.8995
3.27	26.68533
3.275	26.47116
3.28	26.25698
3.285	26.04281
3.29	25.82864
3.295	25.61447
3.3	25.4003
3.305	25.18612
3.31	24.97195
3.315	24.75778
3.32	24.54361
3.325	24.38432
3.33	24.23861
3.335	24.09289
3.34	23.94718
3.345	23.80146
3.35	23.65574
3.355	23.51003
3.36	23.36431
3.365	23.2186
3.37	23.07288
3.375	22.92716
3.38	22.78145
3.385	22.63573
3.39	22.49002
3.395	22.3443
3.4	22.19858
3.405	22.05287
3.41	21.90715
3.415	21.76144
3.42	21.61572
3.425	21.47
3.43	21.32429
3.435	21.22798
3.44	21.13229
3.445	21.03659
3.45	20.94089
3.455	20.8452
3.46	20.7495
3.465	20.6538
3.47	20.55811
3.475	20.46241
3.48	20.36672
3.485	20.27102
3.49	20.17532
3.495	20.11011
3.5	20.07521
3.505	20.04032
3.51	20.00542
3.515	19.97052
3.52	19.93562
3.525	19.90072
3.53	19.86582
3.535	19.83093
3.54	19.79603
3.545	19.76113
3.55	19.72623
3.555	19.69133
3.56	19.65644
3.565	19.62154
3.57	19.58664
3.575	19.55174
3.58	19.51684
3.585	19.48194
3.59	19.44705
3.595	19.41215
3.6	19.37725
3.605	19.34376
3.61	19.31502
3.615	19.28628
3.62	19.25754
3.625	19.2288
3.63	19.20007
3.635	19.17133
3.64	19.14259
3.645	19.11385
3.65	19.08511
3.655	19.05637
3.66	19.02763
3.665	18.99889
3.67	18.97015
3.675	18.94141
3.68	18.91267
3.685	18.88393
3.69	18.85519
3.695	18.82645
3.7	18.79771
3.705	18.76897
3.71	18.74023
3.715	18.71149
3.72	18.68275
3.725	18.65401
3.73	18.62528
3.735	18.59654
3.74	18.5678
3.745	18.53906
3.75	18.51032
3.755	18.48158
3.76	18.45284
3.765	18.42637
3.77	18.4043
3.775	18.38223
3.78	18.36016
3.785	18.33809
3.79	18.31602
3.795	18.29394
3.8	18.27187
3.805	18.2498
3.81	18.22773
3.815	18.20566
3.82	18.18359
3.825	18.16152
3.83	18.13945
3.835	18.11738
3.84	18.09531
3.845	18.07324
3.85	18.05117
3.855	18.0291
3.86	18.00703
3.865	17.98496
3.87	17.96289
3.875	17.94082
3.88	17.91875
3.885	17.89668
3.89	17.87461
3.895	17.85254
3.9	17.83047
3.905	17.8084
3.91	17.78633
3.915	17.76426
3.92	17.74219
3.925	17.72012
3.93	17.69805
3.935	17.67598
3.94	17.65008
3.945	17.59672
3.95	17.54336
3.955	17.49
3.96	17.43664
3.965	17.38328
3.97	17.32992
3.975	17.27656
3.98	17.2232
3.985	17.16985
3.99	17.11649
3.995	17.06313
4	17.00977
4.005	16.95641
4.01	16.90305
4.015	16.84969
4.02	16.79633
4.025	16.74297
4.03	16.68961
4.035	16.63744
4.04	16.58593
4.045	16.53442
4.05	16.48291
4.055	16.43141
4.06	16.3799
4.065	16.32839
4.07	16.27688
4.075	16.22537
4.08	16.17386
4.085	16.12235
4.09	16.07084
4.095	16.01933
4.1	15.96783
4.105	15.91632
4.11	15.86481
4.115	15.8133
4.12	15.76179
4.125	15.71028
4.13	15.65877
4.135	15.60726
4.14	15.55576
4.145	15.50425
4.15	15.45274
4.155	15.40123
4.16	15.34
4.165	15.27729
4.17	15.21458
4.175	15.15187
4.18	15.08917
4.185	15.02646
4.19	14.96375
4.195	14.90104
4.2	14.83833
